id	title	director
<http://dbpedia.org/resource/The_Restless_Conscience:_Resistance_to_Hitler_Within_Germany_1933-1945>	The Restless Conscience: Resistance to Hitler Within Germany 1933-1945@en	Hava Kohav Beller@en
<http://dbpedia.org/resource/The_Extra_Man_%28film%29>	The Extra Man (film)@en	Shari Springer Berman@en
<http://dbpedia.org/resource/Scouts_to_the_Rescue>	Scouts to the Rescue@en	Ray Taylor (director)@en
<http://dbpedia.org/resource/I%27m_All_Right_Jack>	I'm All Right Jack@en	John and Roy Boulting@en
<http://dbpedia.org/resource/Slow_Dancing_in_the_Big_City>	Slow Dancing in the Big City@en	John G. Avildsen@en
<http://dbpedia.org/resource/Calendar_Girl_Murders>	Calendar Girl Murders@en	William A. Graham (director)@en
<http://dbpedia.org/resource/The_Long_Good_Friday>	The Long Good Friday@en	John Mackenzie (director)@en
<http://dbpedia.org/resource/The_Queen_and_I_%28film%29>	The Queen and I (film)@en	Nahid Persson Sarvestani@en
<http://dbpedia.org/resource/Scanners_II:_The_New_Order>	Scanners II: The New Order@en	Christian Duguay (director)@en
<http://dbpedia.org/resource/Chu_Chu_and_the_Philly_Flash>	Chu Chu and the Philly Flash@en	David Lowell Rich@en
<http://dbpedia.org/resource/Duck_and_Cover_%28film%29>	Duck and Cover (film)@en	Anthony Rizzo (filmmaker)@en
<http://dbpedia.org/resource/The_Strange_Case_of_Dr._Jekyll_and_Mr._Hyde_%28film%29>	The Strange Case of Dr. Jekyll and Mr. Hyde (film)@en	John Carl Buechler@en
<http://dbpedia.org/resource/The_Black_Swan_%28film%29>	The Black Swan (film)@en	Henry King (director)@en
<http://dbpedia.org/resource/The_Toxic_Avenger_Part_II>	The Toxic Avenger Part II@en	Michael Herz (producer)@en
<http://dbpedia.org/resource/The_Toxic_Avenger_Part_II>	The Toxic Avenger Part II@en	Michael Herz (producer)@en
<http://dbpedia.org/resource/Without_Benefit_of_Clergy>	Without Benefit of Clergy@en	James Young (director)@en
<http://dbpedia.org/resource/Seeds_of_Destiny>	Seeds of Destiny@en	Gene Fowler, Jr.@en
<http://dbpedia.org/resource/She_Knew_All_the_Answers>	She Knew All the Answers@en	Richard Wallace (director)@en
<http://dbpedia.org/resource/Luggage_of_the_Gods%21>	Luggage of the Gods!@en	David Kendall (director)@en
<http://dbpedia.org/resource/The_Incredibly_Strange_Creatures_Who_Stopped_Living_and_Became_Mixed-Up_Zombies>	The Incredibly Strange Creatures Who Stopped Living and Became Mixed-Up Zombies@en	Ray Dennis Steckler@en
<http://dbpedia.org/resource/Melissa_of_the_Hills>	Melissa of the Hills@en	James Kirkwood, Sr.@en
<http://dbpedia.org/resource/The_Alienist_%28film%29>	The Alienist (film)@en	Nelson Pereira dos Santos@en
<http://dbpedia.org/resource/Molly_and_Lawless_John>	Molly and Lawless John@en	Gary Nelson (director)@en
<http://dbpedia.org/resource/Blinded_by_the_Light_%28film%29>	Blinded by the Light (film)@en	John A. Alonzo@en
<http://dbpedia.org/resource/The_Other_Side_of_the_Tracks>	The Other Side of the Tracks@en	A. D. Calvo@en
<http://dbpedia.org/resource/All_the_Right_Moves>	All the Right Moves@en	Michael Chapman (cinematographer)@en
<http://dbpedia.org/resource/The_Good_Shepherd_%28film%29>	The Good Shepherd (film)@en	Robert De Niro@en
<http://dbpedia.org/resource/The_Adventures_of_Bullwhip_Griffin>	The Adventures of Bullwhip Griffin@en	James Neilson (director)@en
<http://dbpedia.org/resource/Shell_Shock_%28film%29>	Shell Shock (film)@en	John Hayes (director)@en
<http://dbpedia.org/resource/Hag_in_a_Black_Leather_Jacket>	Hag in a Black Leather Jacket@en	John Waters (filmmaker)@en
<http://dbpedia.org/resource/Gordon_of_Ghost_City>	Gordon of Ghost City@en	Ray Taylor (director)@en
<http://dbpedia.org/resource/Our_Gang_Follies_of_1938>	Our Gang Follies of 1938@en	Gordon Douglas (director)@en
<http://dbpedia.org/resource/A_Month_in_the_Country_%28film%29>	A Month in the Country (film)@en	Pat O'Connor (director)@en
<http://dbpedia.org/resource/Alas%21_Poor_Yorick%21>	Alas! Poor Yorick!@en	Colin Campbell (director)@en
<http://dbpedia.org/resource/The_Return_of_Dr._Fu_Manchu>	The Return of Dr. Fu Manchu@en	Rowland V. Lee@en
<http://dbpedia.org/resource/How_to_Succeed_in_Business_Without_Really_Trying_%28film%29>	How to Succeed in Business Without Really Trying (film)@en	David Swift (director)@en
<http://dbpedia.org/resource/The_Unholy_Three_%281930_film%29>	The Unholy Three (1930 film)@en	Jack Conway (film-maker)@en
<http://dbpedia.org/resource/This_Day_and_Age_%28film%29>	This Day and Age (film)@en	Cecil B. DeMille@en
<http://dbpedia.org/resource/Pirates_of_the_Plain>	Pirates of the Plain@en	John R. Cherry III@en
<http://dbpedia.org/resource/The_People_That_Time_Forgot_%28film%29>	The People That Time Forgot (film)@en	Kevin Connor (director)@en
<http://dbpedia.org/resource/Power_Trip_%28film%29>	Power Trip (film)@en	Paul Devlin (filmmaker)@en
<http://dbpedia.org/resource/The_Princess_and_the_Pirate>	The Princess and the Pirate@en	David Butler (director)@en
<http://dbpedia.org/resource/Empire_of_the_Ants_%28film%29>	Empire of the Ants (film)@en	Bert I. Gordon@en
<http://dbpedia.org/resource/Bicentennial_Man_%28film%29>	Bicentennial Man (film)@en	Chris Columbus (filmmaker)@en
<http://dbpedia.org/resource/Above_the_Law_%28film%29>	Above the Law (film)@en	Andrew Davis (film director)@en
<http://dbpedia.org/resource/Ernest_Goes_to_Jail>	Ernest Goes to Jail@en	John R. Cherry III@en
<http://dbpedia.org/resource/Ernest_Goes_to_Jail>	Ernest Goes to Jail@en	John R. Cherry III@en
<http://dbpedia.org/resource/Ernest_Goes_to_Jail>	Ernest Goes to Jail@en	John R. Cherry III@en
<http://dbpedia.org/resource/The_Man_Without_a_Face_%281928_serial%29>	The Man Without a Face (1928 serial)@en	Spencer Gordon Bennet@en
<http://dbpedia.org/resource/Geronimo:_An_American_Legend>	Geronimo: An American Legend@en	Walter Hill (filmmaker)@en
<http://dbpedia.org/resource/Jesse_James_Rides_Again>	Jesse James Rides Again@en	Thomas Carr (director)@en
<http://dbpedia.org/resource/Street_Fighter_%28film%29>	Street Fighter (film)@en	Steven E. de Souza@en
<http://dbpedia.org/resource/The_Story_of_the_Kelly_Gang>	The Story of the Kelly Gang@en	Charles Tait (film director)@en
<http://dbpedia.org/resource/Centered_in_the_Universe>	Centered in the Universe@en	Don Dixon (artist)@en
<http://dbpedia.org/resource/Waste_Land_%28film%29>	Waste Land (film)@en	Lucy Walker (director)@en
<http://dbpedia.org/resource/George_of_the_Jungle_2>	George of the Jungle 2@en	David Grossman (director)@en
<http://dbpedia.org/resource/Confessions_of_a_Shopaholic_%28film%29>	Confessions of a Shopaholic (film)@en	P. J. Hogan@en
<http://dbpedia.org/resource/Fatty_Joins_the_Force>	Fatty Joins the Force@en	George Nichols (actor)@en
<http://dbpedia.org/resource/The_Little_Drummer_Girl_%28film%29>	The Little Drummer Girl (film)@en	George Roy Hill@en
<http://dbpedia.org/resource/Bring_Me_the_Head_of_Mavis_Davis>	Bring Me the Head of Mavis Davis@en	John Henderson (director)@en
<http://dbpedia.org/resource/The_Lives_of_Others>	The Lives of Others@en	Florian Henckel von Donnersmarck@en
<http://dbpedia.org/resource/The_New_Kids_%28film%29>	The New Kids (film)@en	Sean S. Cunningham@en
<http://dbpedia.org/resource/The_New_Kids_%28film%29>	The New Kids (film)@en	Sean S. Cunningham@en
<http://dbpedia.org/resource/The_Wackiest_Wagon_Train_in_the_West>	The Wackiest Wagon Train in the West@en	Jack Arnold (director)@en
<http://dbpedia.org/resource/Two_Weeks_to_Live>	Two Weeks to Live@en	Malcolm St. Clair (filmmaker)@en
<http://dbpedia.org/resource/The_Adventures_of_Ruth>	The Adventures of Ruth@en	George Marshall (director)@en
<http://dbpedia.org/resource/Friday_the_13th_Part_VII:_The_New_Blood>	Friday the 13th Part VII: The New Blood@en	John Carl Buechler@en
<http://dbpedia.org/resource/The_King_and_I_%281999_film%29>	The King and I (1999 film)@en	Richard Rich (director)@en
<http://dbpedia.org/resource/Leaves_of_Grass_%28film%29>	Leaves of Grass (film)@en	Tim Blake Nelson@en
<http://dbpedia.org/resource/Peeping_Tom_%28film%29>	Peeping Tom (film)@en	Michael Powell (director)@en
<http://dbpedia.org/resource/Deadly_Intentions..._Again%3F>	Deadly Intentions... Again?@en	James Steven Sadwith@en
<http://dbpedia.org/resource/Escape_from_the_Planet_of_the_Apes>	Escape from the Planet of the Apes@en	Don Taylor (actor/director)@en
<http://dbpedia.org/resource/The_First_%2420_Million_Is_Always_the_Hardest>	The First $20 Million Is Always the Hardest@en	Mick Jackson (director)@en
<http://dbpedia.org/resource/The_Bohemian_Girl_%28film%29>	The Bohemian Girl (film)@en	Charley Rogers@en
<http://dbpedia.org/resource/The_Great_Waltz_%28film%29>	The Great Waltz (film)@en	Victor Fleming@en
<http://dbpedia.org/resource/High_Roller:_The_Stu_Ungar_Story>	High Roller: The Stu Ungar Story@en	A. W. Vidmer@en
<http://dbpedia.org/resource/Two_Thousand_Maniacs%21>	Two Thousand Maniacs!@en	Herschell Gordon Lewis@en
<http://dbpedia.org/resource/An_Airman%27s_Letter_to_His_Mother>	An Airman's Letter to His Mother@en	Michael Powell (director)@en
<http://dbpedia.org/resource/Never_a_Dull_Moment_%281950_film%29>	Never a Dull Moment (1950 film)@en	George Marshall (director)@en
<http://dbpedia.org/resource/The_Ghost_and_the_Darkness>	The Ghost and the Darkness@en	Stephen Hopkins (director)@en
<http://dbpedia.org/resource/A_Street_to_Die>	A Street to Die@en	Bill Bennett (director)@en
<http://dbpedia.org/resource/Revenge_of_the_Creature>	Revenge of the Creature@en	Jack Arnold (director)@en
<http://dbpedia.org/resource/El_Muerto_%28film%29>	El Muerto (film)@en	Brian Cox (director)@en
<http://dbpedia.org/resource/Born_to_Be_Wild_%28film%29>	Born to Be Wild (film)@en	John Gray (director)@en
<http://dbpedia.org/resource/One_Is_Business,_the_Other_Crime>	One Is Business, the Other Crime@en	D. W. Griffith@en
<http://dbpedia.org/resource/I_Will_Fight_No_More_Forever>	I Will Fight No More Forever@en	Richard T. Heffron@en
<http://dbpedia.org/resource/Kings_of_South_Beach>	Kings of South Beach@en	Tim Hunter (director)@en
<http://dbpedia.org/resource/Raggedy_Ann_&_Andy:_A_Musical_Adventure>	Raggedy Ann & Andy: A Musical Adventure@en	Richard Williams (animator)@en
<http://dbpedia.org/resource/Thicker_than_Water_%282000_film%29>	Thicker than Water (2000 film)@en	Jack Johnson (musician)@en
<http://dbpedia.org/resource/Better_Off_Dead_%28film%29>	Better Off Dead (film)@en	Savage Steve Holland@en
<http://dbpedia.org/resource/The_Food_of_the_Gods_%28film%29>	The Food of the Gods (film)@en	Bert I. Gordon@en
<http://dbpedia.org/resource/War_of_the_Worlds_2:_The_Next_Wave>	War of the Worlds 2: The Next Wave@en	C. Thomas Howell@en
<http://dbpedia.org/resource/The_Door_in_the_Floor>	The Door in the Floor@en	Tod Williams (filmmaker)@en
<http://dbpedia.org/resource/Deuce_Bigalow:_Male_Gigolo>	Deuce Bigalow: Male Gigolo@en	Mike Mitchell (director)@en
<http://dbpedia.org/resource/Harry_Potter_and_the_Goblet_of_Fire_%28film%29>	Harry Potter and the Goblet of Fire (film)@en	Mike Newell (director)@en
<http://dbpedia.org/resource/The_First_Christmas:_The_Story_of_the_First_Christmas_Snow>	The First Christmas: The Story of the First Christmas Snow@en	Jules Bass@en
<http://dbpedia.org/resource/A_Matter_of_Life_and_Death_%28film%29>	A Matter of Life and Death (film)@en	Michael Powell (director)@en
<http://dbpedia.org/resource/The_Legend_of_Hell_House>	The Legend of Hell House@en	John Hough (director)@en
<http://dbpedia.org/resource/The_Return_of_Chandu>	The Return of Chandu@en	Ray Taylor (director)@en
<http://dbpedia.org/resource/Red_Garters_%28film%29>	Red Garters (film)@en	George Marshall (director)@en
<http://dbpedia.org/resource/The_Great_Scout_&_Cathouse_Thursday>	The Great Scout & Cathouse Thursday@en	Don Taylor (actor)@en
<http://dbpedia.org/resource/I_Know_Where_I%27m_Going%21>	I Know Where I'm Going!@en	Michael Powell (director)@en
<http://dbpedia.org/resource/Brick_Bradford_%28serial%29>	Brick Bradford (serial)@en	Thomas Carr (director)@en
<http://dbpedia.org/resource/The_Land_That_Time_Forgot_%282009_film%29>	The Land That Time Forgot (2009 film)@en	C. Thomas Howell@en
<http://dbpedia.org/resource/Love_Conquers_All_%28film%29>	Love Conquers All (film)@en	Tan Chui Mui@en
<http://dbpedia.org/resource/A_Crime_in_Paradise>	A Crime in Paradise@en	Jean Becker (director)@en
<http://dbpedia.org/resource/The_Sea_Hound_%28serial%29>	The Sea Hound (serial)@en	Sam Newfield@en
<http://dbpedia.org/resource/The_Heart_Is_a_Lonely_Hunter_%28film%29>	The Heart Is a Lonely Hunter (film)@en	Robert Ellis Miller@en
<http://dbpedia.org/resource/Astro_Boy_%28film%29>	Astro Boy (film)@en	David Bowers (director)@en
<http://dbpedia.org/resource/Boy_A_%28film%29>	Boy A (film)@en	John Crowley (director)@en
<http://dbpedia.org/resource/Comfortably_Numb_%28film%29>	Comfortably Numb (film)@en	Gavin O'Connor (director)@en
<http://dbpedia.org/resource/Vidas_Secas_%28film%29>	Vidas Secas (film)@en	Nelson Pereira dos Santos@en
<http://dbpedia.org/resource/Outside_the_Law_%281956_film%29>	Outside the Law (1956 film)@en	Jack Arnold (director)@en
<http://dbpedia.org/resource/Alpha_and_Omega_%28film%29>	Alpha and Omega (film)@en	Anthony Bell (director)@en
<http://dbpedia.org/resource/A_Dream_or_Two_Ago>	A Dream or Two Ago@en	James Kirkwood, Sr.@en
<http://dbpedia.org/resource/Big_Girls_Don%27t_Cry..._They_Get_Even>	Big Girls Don't Cry... They Get Even@en	Joan Micklin Silver@en
<http://dbpedia.org/resource/The_Billion_Dollar_Bubble>	The Billion Dollar Bubble@en	Brian Gibson (director)@en
<http://dbpedia.org/resource/If_I_Had_My_Way>	If I Had My Way@en	David Butler (director)@en
<http://dbpedia.org/resource/The_Gentle_Intruder>	The Gentle Intruder@en	James Kirkwood, Sr.@en
<http://dbpedia.org/resource/Now_You_See_Him,_Now_You_Don%27t>	Now You See Him, Now You Don't@en	Robert Butler (director)@en
<http://dbpedia.org/resource/A_Girl_from_Hunan>	A Girl from Hunan@en	Xie Fei (director)@en
<http://dbpedia.org/resource/The_Spiderwick_Chronicles_%28film%29>	The Spiderwick Chronicles (film)@en	Mark Waters (director)@en
<http://dbpedia.org/resource/For_Heaven%27s_Sake_%281926_film%29>	For Heaven's Sake (1926 film)@en	Sam Taylor (director)@en
<http://dbpedia.org/resource/The_Last_Ride_to_Santa_Cruz>	The Last Ride to Santa Cruz@en	Rolf Olsen (actor)@en
<http://dbpedia.org/resource/The_Evil_That_Men_Do_%28film%29>	The Evil That Men Do (film)@en	J. Lee Thompson@en
<http://dbpedia.org/resource/Dr._Otto_and_the_Riddle_of_the_Gloom_Beam>	Dr. Otto and the Riddle of the Gloom Beam@en	John R. Cherry III@en
<http://dbpedia.org/resource/The_Sum_of_Us_%28film%29>	The Sum of Us (film)@en	Kevin Dowling (director)@en
<http://dbpedia.org/resource/The_Sum_of_Us_%28film%29>	The Sum of Us (film)@en	Kevin Dowling (director)@en
<http://dbpedia.org/resource/Lady_Sings_the_Blues_%28film%29>	Lady Sings the Blues (film)@en	Sidney J. Furie@en
<http://dbpedia.org/resource/Victory_Through_Air_Power_%28film%29>	Victory Through Air Power (film)@en	James Algar@en
<http://dbpedia.org/resource/All_the_Pretty_Horses_%28film%29>	All the Pretty Horses (film)@en	Billy Bob Thornton@en
<http://dbpedia.org/resource/Peck%27s_Bad_Boy_with_the_Circus>	Peck's Bad Boy with the Circus@en	Edward F. Cline@en
<http://dbpedia.org/resource/Mary_Tyler_Moore:_The_20th_Anniversary_Show>	Mary Tyler Moore: The 20th Anniversary Show@en	Jack Haley, Jr.@en
<http://dbpedia.org/resource/Flash_Gordon_%28serial%29>	Flash Gordon (serial)@en	Ray Taylor (director)@en
<http://dbpedia.org/resource/Air_Bud:_Spikes_Back>	Air Bud: Spikes Back@en	Mike Southon (cinematographer)@en
<http://dbpedia.org/resource/Hot_Potato_%28film%29>	Hot Potato (film)@en	Oscar Williams (filmmaker)@en
<http://dbpedia.org/resource/Inuuvunga:_I_Am_Inuk,_I_Am_Alive>	Inuuvunga: I Am Inuk, I Am Alive@en	Mila Aung-Thwin@en
<http://dbpedia.org/resource/Soul_Food_%28film%29>	Soul Food (film)@en	George Tillman, Jr.@en
<http://dbpedia.org/resource/Across_the_Wide_Missouri_%28film%29>	Across the Wide Missouri (film)@en	William A. Wellman@en
<http://dbpedia.org/resource/I_Married_a_Monster_from_Outer_Space>	I Married a Monster from Outer Space@en	Gene Fowler Jr.@en
<http://dbpedia.org/resource/On_the_Edge_%28film%29>	On the Edge (film)@en	John Carney (director)@en
<http://dbpedia.org/resource/In_Search_of_Gregory>	In Search of Gregory@en	Peter Wood (director)@en
<http://dbpedia.org/resource/The_Sign_of_the_Cross_%28film%29>	The Sign of the Cross (film)@en	Cecil B. DeMille@en
<http://dbpedia.org/resource/Break,_Break,_Break_%28film%29>	Break, Break, Break (film)@en	Harry A. Pollard@en
<http://dbpedia.org/resource/She%27s_Having_a_Baby>	She's Having a Baby@en	John Hughes (filmmaker)@en
<http://dbpedia.org/resource/The_Vagabond_King_%281930_film%29>	The Vagabond King (1930 film)@en	Ludwig Berger (director)@en
<http://dbpedia.org/resource/In_Good_Company_%282004_film%29>	In Good Company (2004 film)@en	Paul Weitz (filmmaker)@en
<http://dbpedia.org/resource/Rikki_og_m%C3%A6ndene>	Rikki og mændene@en	Lisbeth Movin@en
<http://dbpedia.org/resource/The_First_of_the_Few>	The First of the Few@en	Leslie Howard (actor)@en
<http://dbpedia.org/resource/Ruth_of_the_Rockies>	Ruth of the Rockies@en	George Marshall (director)@en
<http://dbpedia.org/resource/The_Return_of_the_King_%281980_film%29>	The Return of the King (1980 film)@en	Arthur Rankin, Jr.@en
<http://dbpedia.org/resource/Down_in_the_Valley_%28film%29>	Down in the Valley (film)@en	David Jacobson (director)@en
<http://dbpedia.org/resource/Behind_Enemy_Lines_%282001_film%29>	Behind Enemy Lines (2001 film)@en	John Moore (director)@en
<http://dbpedia.org/resource/Max_Payne_%28film%29>	Max Payne (film)@en	John Moore (director)@en
<http://dbpedia.org/resource/Hedwig_and_the_Angry_Inch_%28film%29>	Hedwig and the Angry Inch (film)@en	John Cameron Mitchell@en
<http://dbpedia.org/resource/Percy_Jackson_&_the_Olympians:_The_Lightning_Thief>	Percy Jackson & the Olympians: The Lightning Thief@en	Chris Columbus (filmmaker)@en
<http://dbpedia.org/resource/Alexander%27s_Ragtime_Band_%28film%29>	Alexander's Ragtime Band (film)@en	Henry King (director)@en
<http://dbpedia.org/resource/Alexander%27s_Ragtime_Band_%28film%29>	Alexander's Ragtime Band (film)@en	Henry King (director)@en
<http://dbpedia.org/resource/The_Amulet_of_Ogum>	The Amulet of Ogum@en	Nelson Pereira dos Santos@en
<http://dbpedia.org/resource/The_Monastery:_Mr._Vig_and_the_Nun>	The Monastery: Mr. Vig and the Nun@en	Pernille Rose Grønkjær@en
<http://dbpedia.org/resource/Motives_%28film%29>	Motives (film)@en	Craig Ross Jr.@en
<http://dbpedia.org/resource/Change_of_Habit>	Change of Habit@en	William A. Graham (director)@en
<http://dbpedia.org/resource/The_Last_of_Mrs._Cheyney_%281929_film%29>	The Last of Mrs. Cheyney (1929 film)@en	Sidney Franklin (director)@en
<http://dbpedia.org/resource/Biggles:_Adventures_in_Time>	Biggles: Adventures in Time@en	John Hough (director)@en
<http://dbpedia.org/resource/Dirty_Mary,_Crazy_Larry>	Dirty Mary, Crazy Larry@en	John Hough (director)@en
<http://dbpedia.org/resource/The_Green_Hornet_%28serial%29>	The Green Hornet (serial)@en	Ford Beebe@en
<http://dbpedia.org/resource/The_Lena_Baker_Story>	The Lena Baker Story@en	Ralph Wilcox (actor)@en
<http://dbpedia.org/resource/A_Romance_of_the_Western_Hills>	A Romance of the Western Hills@en	D. W. Griffith@en
<http://dbpedia.org/resource/A_Family_Affair_%28film%29>	A Family Affair (film)@en	George B. Seitz@en
<http://dbpedia.org/resource/Gold_Diggers_of_Broadway_%28film%29>	Gold Diggers of Broadway (film)@en	Roy Del Ruth@en
<http://dbpedia.org/resource/The_Triumphs_of_a_Man_Called_Horse>	The Triumphs of a Man Called Horse@en	John Hough (director)@en
<http://dbpedia.org/resource/Pride_and_Glory_%28film%29>	Pride and Glory (film)@en	Gavin O'Connor (director)@en
<http://dbpedia.org/resource/The_Conquest_of_Everest>	The Conquest of Everest@en	George Lowe (mountaineer)@en
<http://dbpedia.org/resource/Get_Christie_Love%21>	Get Christie Love!@en	William A. Graham (director)@en
<http://dbpedia.org/resource/Private_Lives_%28film%29>	Private Lives (film)@en	Sidney Franklin (director)@en
<http://dbpedia.org/resource/The_Art_of_War_%28film%29>	The Art of War (film)@en	Christian Duguay (director)@en
<http://dbpedia.org/resource/The_Last_Sin_Eater_%28film%29>	The Last Sin Eater (film)@en	Michael Landon Jr.@en
<http://dbpedia.org/resource/Lise_kommer_til_Byen>	Lise kommer til Byen@en	Alice O'Fredericks@en
<http://dbpedia.org/resource/Night_Passage_%28film%29>	Night Passage (film)@en	James Neilson (director)@en
<http://dbpedia.org/resource/Prince_of_Persia:_The_Sands_of_Time_%28film%29>	Prince of Persia: The Sands of Time (film)@en	Mike Newell (director)@en
<http://dbpedia.org/resource/It_Came_from_Outer_Space>	It Came from Outer Space@en	Jack Arnold (director)@en
<http://dbpedia.org/resource/The_Acid_House_%28film%29>	The Acid House (film)@en	Paul McGuigan (filmmaker)@en
<http://dbpedia.org/resource/What%27s_Love_Got_to_Do_with_It_%28film%29>	What's Love Got to Do with It (film)@en	Brian Gibson (director)@en
<http://dbpedia.org/resource/House_of_the_Long_Shadows>	House of the Long Shadows@en	Pete Walker (director)@en
<http://dbpedia.org/resource/Too_Hot_to_Handle_%281960_film%29>	Too Hot to Handle (1960 film)@en	Terence Young (director)@en
<http://dbpedia.org/resource/The_Watcher_in_the_Woods>	The Watcher in the Woods@en	John Hough (director)@en
<http://dbpedia.org/resource/P.U.N.K.S.>	P.U.N.K.S.@en	Sean McNamara (director)@en
<http://dbpedia.org/resource/Roar_of_the_Iron_Horse>	Roar of the Iron Horse@en	Thomas Carr (director)@en
<http://dbpedia.org/resource/Detention:_The_Siege_at_Johnson_High>	Detention: The Siege at Johnson High@en	Michael W. Watkins@en
<http://dbpedia.org/resource/Nancy_Drew_and_the_Hidden_Staircase_%28film%29>	Nancy Drew and the Hidden Staircase (film)@en	William Clemens (film director)@en
<http://dbpedia.org/resource/The_Girl_of_the_Golden_West_%281938_film%29>	The Girl of the Golden West (1938 film)@en	Robert Z. Leonard@en
<http://dbpedia.org/resource/Tenacious_D_in_The_Pick_of_Destiny>	Tenacious D in The Pick of Destiny@en	Liam Lynch (musician)@en
<http://dbpedia.org/resource/Rolling_Thunder_%28film%29>	Rolling Thunder (film)@en	John Flynn (director)@en
<http://dbpedia.org/resource/The_Barretts_of_Wimpole_Street_%281934_film%29>	The Barretts of Wimpole Street (1934 film)@en	Sidney Franklin (director)@en
<http://dbpedia.org/resource/The_Barretts_of_Wimpole_Street_%281934_film%29>	The Barretts of Wimpole Street (1934 film)@en	Sidney Franklin (director)@en
<http://dbpedia.org/resource/Planes,_Trains_and_Automobiles>	Planes, Trains and Automobiles@en	John Hughes (filmmaker)@en
<http://dbpedia.org/resource/No,_or_the_Vain_Glory_of_Command>	No, or the Vain Glory of Command@en	Manoel de Oliveira@en
<http://dbpedia.org/resource/The_Black_Dahlia_%28film%29>	The Black Dahlia (film)@en	Brian De Palma@en
<http://dbpedia.org/resource/The_Flight_of_Dragons>	The Flight of Dragons@en	Arthur Rankin, Jr.@en
<http://dbpedia.org/resource/I_Can_Get_It_for_You_Wholesale_%28film%29>	I Can Get It for You Wholesale (film)@en	Michael Gordon (film director)@en
