id,title,director
"<http://dbpedia.org/resource/The_Queen_and_I_%28film%29>","The Queen and I (film)","Nahid Persson Sarvestani"
"<http://dbpedia.org/resource/Scanners_II:_The_New_Order>","Scanners II: The New Order","Christian Duguay (director)"
"<http://dbpedia.org/resource/Chu_Chu_and_the_Philly_Flash>","Chu Chu and the Philly Flash","David Lowell Rich"
"<http://dbpedia.org/resource/Duck_and_Cover_%28film%29>","Duck and Cover (film)","Anthony Rizzo (filmmaker)"
"<http://dbpedia.org/resource/The_Strange_Case_of_Dr._Jekyll_and_Mr._Hyde_%28film%29>","The Strange Case of Dr. Jekyll and Mr. Hyde (film)","John Carl Buechler"
"<http://dbpedia.org/resource/The_Black_Swan_%28film%29>","The Black Swan (film)","Henry King (director)"
"<http://dbpedia.org/resource/The_Toxic_Avenger_Part_II>","The Toxic Avenger Part II","Michael Herz (producer)"
"<http://dbpedia.org/resource/The_Toxic_Avenger_Part_II>","The Toxic Avenger Part II","Michael Herz (producer)"
"<http://dbpedia.org/resource/Without_Benefit_of_Clergy>","Without Benefit of Clergy","James Young (director)"
"<http://dbpedia.org/resource/Seeds_of_Destiny>","Seeds of Destiny","Gene Fowler, Jr."
"<http://dbpedia.org/resource/She_Knew_All_the_Answers>","She Knew All the Answers","Richard Wallace (director)"
"<http://dbpedia.org/resource/Luggage_of_the_Gods%21>","Luggage of the Gods!","David Kendall (director)"
"<http://dbpedia.org/resource/The_Incredibly_Strange_Creatures_Who_Stopped_Living_and_Became_Mixed-Up_Zombies>","The Incredibly Strange Creatures Who Stopped Living and Became Mixed-Up Zombies","Ray Dennis Steckler"
"<http://dbpedia.org/resource/Melissa_of_the_Hills>","Melissa of the Hills","James Kirkwood, Sr."
"<http://dbpedia.org/resource/The_Alienist_%28film%29>","The Alienist (film)","Nelson Pereira dos Santos"
"<http://dbpedia.org/resource/Molly_and_Lawless_John>","Molly and Lawless John","Gary Nelson (director)"
"<http://dbpedia.org/resource/Blinded_by_the_Light_%28film%29>","Blinded by the Light (film)","John A. Alonzo"
"<http://dbpedia.org/resource/The_Other_Side_of_the_Tracks>","The Other Side of the Tracks","A. D. Calvo"
"<http://dbpedia.org/resource/All_the_Right_Moves>","All the Right Moves","Michael Chapman (cinematographer)"
"<http://dbpedia.org/resource/The_Good_Shepherd_%28film%29>","The Good Shepherd (film)","Robert De Niro"
"<http://dbpedia.org/resource/The_Adventures_of_Bullwhip_Griffin>","The Adventures of Bullwhip Griffin","James Neilson (director)"
"<http://dbpedia.org/resource/Shell_Shock_%28film%29>","Shell Shock (film)","John Hayes (director)"
"<http://dbpedia.org/resource/Hag_in_a_Black_Leather_Jacket>","Hag in a Black Leather Jacket","John Waters (filmmaker)"
"<http://dbpedia.org/resource/Gordon_of_Ghost_City>","Gordon of Ghost City","Ray Taylor (director)"
"<http://dbpedia.org/resource/Our_Gang_Follies_of_1938>","Our Gang Follies of 1938","Gordon Douglas (director)"
"<http://dbpedia.org/resource/A_Month_in_the_Country_%28film%29>","A Month in the Country (film)","Pat O'Connor (director)"
"<http://dbpedia.org/resource/Alas%21_Poor_Yorick%21>","Alas! Poor Yorick!","Colin Campbell (director)"
"<http://dbpedia.org/resource/The_Return_of_Dr._Fu_Manchu>","The Return of Dr. Fu Manchu","Rowland V. Lee"
"<http://dbpedia.org/resource/How_to_Succeed_in_Business_Without_Really_Trying_%28film%29>","How to Succeed in Business Without Really Trying (film)","David Swift (director)"
"<http://dbpedia.org/resource/The_Unholy_Three_%281930_film%29>","The Unholy Three (1930 film)","Jack Conway (film-maker)"
"<http://dbpedia.org/resource/This_Day_and_Age_%28film%29>","This Day and Age (film)","Cecil B. DeMille"
"<http://dbpedia.org/resource/Pirates_of_the_Plain>","Pirates of the Plain","John R. Cherry III"
"<http://dbpedia.org/resource/The_People_That_Time_Forgot_%28film%29>","The People That Time Forgot (film)","Kevin Connor (director)"
"<http://dbpedia.org/resource/Power_Trip_%28film%29>","Power Trip (film)","Paul Devlin (filmmaker)"
"<http://dbpedia.org/resource/The_Princess_and_the_Pirate>","The Princess and the Pirate","David Butler (director)"
"<http://dbpedia.org/resource/Empire_of_the_Ants_%28film%29>","Empire of the Ants (film)","Bert I. Gordon"
"<http://dbpedia.org/resource/Bicentennial_Man_%28film%29>","Bicentennial Man (film)","Chris Columbus (filmmaker)"
"<http://dbpedia.org/resource/Above_the_Law_%28film%29>","Above the Law (film)","Andrew Davis (film director)"
"<http://dbpedia.org/resource/Ernest_Goes_to_Jail>","Ernest Goes to Jail","John R. Cherry III"
"<http://dbpedia.org/resource/Ernest_Goes_to_Jail>","Ernest Goes to Jail","John R. Cherry III"
"<http://dbpedia.org/resource/Ernest_Goes_to_Jail>","Ernest Goes to Jail","John R. Cherry III"
"<http://dbpedia.org/resource/The_Man_Without_a_Face_%281928_serial%29>","The Man Without a Face (1928 serial)","Spencer Gordon Bennet"
"<http://dbpedia.org/resource/Geronimo:_An_American_Legend>","Geronimo: An American Legend","Walter Hill (filmmaker)"
"<http://dbpedia.org/resource/Jesse_James_Rides_Again>","Jesse James Rides Again","Thomas Carr (director)"
"<http://dbpedia.org/resource/Street_Fighter_%28film%29>","Street Fighter (film)","Steven E. de Souza"
"<http://dbpedia.org/resource/The_Story_of_the_Kelly_Gang>","The Story of the Kelly Gang","Charles Tait (film director)"
"<http://dbpedia.org/resource/Centered_in_the_Universe>","Centered in the Universe","Don Dixon (artist)"
"<http://dbpedia.org/resource/Waste_Land_%28film%29>","Waste Land (film)","Lucy Walker (director)"
"<http://dbpedia.org/resource/George_of_the_Jungle_2>","George of the Jungle 2","David Grossman (director)"
"<http://dbpedia.org/resource/Confessions_of_a_Shopaholic_%28film%29>","Confessions of a Shopaholic (film)","P. J. Hogan"
"<http://dbpedia.org/resource/Fatty_Joins_the_Force>","Fatty Joins the Force","George Nichols (actor)"
"<http://dbpedia.org/resource/The_Little_Drummer_Girl_%28film%29>","The Little Drummer Girl (film)","George Roy Hill"
"<http://dbpedia.org/resource/Bring_Me_the_Head_of_Mavis_Davis>","Bring Me the Head of Mavis Davis","John Henderson (director)"
"<http://dbpedia.org/resource/The_Lives_of_Others>","The Lives of Others","Florian Henckel von Donnersmarck"
"<http://dbpedia.org/resource/The_New_Kids_%28film%29>","The New Kids (film)","Sean S. Cunningham"
"<http://dbpedia.org/resource/The_New_Kids_%28film%29>","The New Kids (film)","Sean S. Cunningham"
"<http://dbpedia.org/resource/The_Wackiest_Wagon_Train_in_the_West>","The Wackiest Wagon Train in the West","Jack Arnold (director)"
"<http://dbpedia.org/resource/Two_Weeks_to_Live>","Two Weeks to Live","Malcolm St. Clair (filmmaker)"
"<http://dbpedia.org/resource/The_Adventures_of_Ruth>","The Adventures of Ruth","George Marshall (director)"
"<http://dbpedia.org/resource/Friday_the_13th_Part_VII:_The_New_Blood>","Friday the 13th Part VII: The New Blood","John Carl Buechler"
"<http://dbpedia.org/resource/The_King_and_I_%281999_film%29>","The King and I (1999 film)","Richard Rich (director)"
"<http://dbpedia.org/resource/Leaves_of_Grass_%28film%29>","Leaves of Grass (film)","Tim Blake Nelson"
"<http://dbpedia.org/resource/Peeping_Tom_%28film%29>","Peeping Tom (film)","Michael Powell (director)"
"<http://dbpedia.org/resource/Deadly_Intentions..._Again%3F>","Deadly Intentions... Again?","James Steven Sadwith"
"<http://dbpedia.org/resource/Escape_from_the_Planet_of_the_Apes>","Escape from the Planet of the Apes","Don Taylor (actor/director)"
"<http://dbpedia.org/resource/The_First_%2420_Million_Is_Always_the_Hardest>","The First $20 Million Is Always the Hardest","Mick Jackson (director)"
"<http://dbpedia.org/resource/The_Bohemian_Girl_%28film%29>","The Bohemian Girl (film)","Charley Rogers"
"<http://dbpedia.org/resource/The_Great_Waltz_%28film%29>","The Great Waltz (film)","Victor Fleming"
"<http://dbpedia.org/resource/High_Roller:_The_Stu_Ungar_Story>","High Roller: The Stu Ungar Story","A. W. Vidmer"
"<http://dbpedia.org/resource/Two_Thousand_Maniacs%21>","Two Thousand Maniacs!","Herschell Gordon Lewis"
"<http://dbpedia.org/resource/An_Airman%27s_Letter_to_His_Mother>","An Airman's Letter to His Mother","Michael Powell (director)"
"<http://dbpedia.org/resource/Never_a_Dull_Moment_%281950_film%29>","Never a Dull Moment (1950 film)","George Marshall (director)"
"<http://dbpedia.org/resource/The_Ghost_and_the_Darkness>","The Ghost and the Darkness","Stephen Hopkins (director)"
"<http://dbpedia.org/resource/A_Street_to_Die>","A Street to Die","Bill Bennett (director)"
"<http://dbpedia.org/resource/Revenge_of_the_Creature>","Revenge of the Creature","Jack Arnold (director)"
"<http://dbpedia.org/resource/El_Muerto_%28film%29>","El Muerto (film)","Brian Cox (director)"
"<http://dbpedia.org/resource/Born_to_Be_Wild_%28film%29>","Born to Be Wild (film)","John Gray (director)"
"<http://dbpedia.org/resource/One_Is_Business,_the_Other_Crime>","One Is Business, the Other Crime","D. W. Griffith"
"<http://dbpedia.org/resource/I_Will_Fight_No_More_Forever>","I Will Fight No More Forever","Richard T. Heffron"
"<http://dbpedia.org/resource/Kings_of_South_Beach>","Kings of South Beach","Tim Hunter (director)"
"<http://dbpedia.org/resource/Raggedy_Ann_&_Andy:_A_Musical_Adventure>","Raggedy Ann & Andy: A Musical Adventure","Richard Williams (animator)"
"<http://dbpedia.org/resource/Thicker_than_Water_%282000_film%29>","Thicker than Water (2000 film)","Jack Johnson (musician)"
"<http://dbpedia.org/resource/Better_Off_Dead_%28film%29>","Better Off Dead (film)","Savage Steve Holland"
"<http://dbpedia.org/resource/The_Food_of_the_Gods_%28film%29>","The Food of the Gods (film)","Bert I. Gordon"
"<http://dbpedia.org/resource/War_of_the_Worlds_2:_The_Next_Wave>","War of the Worlds 2: The Next Wave","C. Thomas Howell"
"<http://dbpedia.org/resource/The_Door_in_the_Floor>","The Door in the Floor","Tod Williams (filmmaker)"
"<http://dbpedia.org/resource/Deuce_Bigalow:_Male_Gigolo>","Deuce Bigalow: Male Gigolo","Mike Mitchell (director)"
"<http://dbpedia.org/resource/Harry_Potter_and_the_Goblet_of_Fire_%28film%29>","Harry Potter and the Goblet of Fire (film)","Mike Newell (director)"
"<http://dbpedia.org/resource/The_First_Christmas:_The_Story_of_the_First_Christmas_Snow>","The First Christmas: The Story of the First Christmas Snow","Jules Bass"
"<http://dbpedia.org/resource/A_Matter_of_Life_and_Death_%28film%29>","A Matter of Life and Death (film)","Michael Powell (director)"
"<http://dbpedia.org/resource/The_Legend_of_Hell_House>","The Legend of Hell House","John Hough (director)"
"<http://dbpedia.org/resource/The_Return_of_Chandu>","The Return of Chandu","Ray Taylor (director)"
"<http://dbpedia.org/resource/Red_Garters_%28film%29>","Red Garters (film)","George Marshall (director)"
"<http://dbpedia.org/resource/The_Great_Scout_&_Cathouse_Thursday>","The Great Scout & Cathouse Thursday","Don Taylor (actor)"
"<http://dbpedia.org/resource/I_Know_Where_I%27m_Going%21>","I Know Where I'm Going!","Michael Powell (director)"
"<http://dbpedia.org/resource/Brick_Bradford_%28serial%29>","Brick Bradford (serial)","Thomas Carr (director)"
"<http://dbpedia.org/resource/The_Land_That_Time_Forgot_%282009_film%29>","The Land That Time Forgot (2009 film)","C. Thomas Howell"
"<http://dbpedia.org/resource/Love_Conquers_All_%28film%29>","Love Conquers All (film)","Tan Chui Mui"
"<http://dbpedia.org/resource/A_Crime_in_Paradise>","A Crime in Paradise","Jean Becker (director)"
"<http://dbpedia.org/resource/The_Sea_Hound_%28serial%29>","The Sea Hound (serial)","Sam Newfield"
"<http://dbpedia.org/resource/The_Heart_Is_a_Lonely_Hunter_%28film%29>","The Heart Is a Lonely Hunter (film)","Robert Ellis Miller"
"<http://dbpedia.org/resource/Astro_Boy_%28film%29>","Astro Boy (film)","David Bowers (director)"
"<http://dbpedia.org/resource/Boy_A_%28film%29>","Boy A (film)","John Crowley (director)"
"<http://dbpedia.org/resource/Comfortably_Numb_%28film%29>","Comfortably Numb (film)","Gavin O'Connor (director)"
"<http://dbpedia.org/resource/Vidas_Secas_%28film%29>","Vidas Secas (film)","Nelson Pereira dos Santos"
"<http://dbpedia.org/resource/Outside_the_Law_%281956_film%29>","Outside the Law (1956 film)","Jack Arnold (director)"
"<http://dbpedia.org/resource/Alpha_and_Omega_%28film%29>","Alpha and Omega (film)","Anthony Bell (director)"
"<http://dbpedia.org/resource/A_Dream_or_Two_Ago>","A Dream or Two Ago","James Kirkwood, Sr."
"<http://dbpedia.org/resource/Big_Girls_Don%27t_Cry..._They_Get_Even>","Big Girls Don't Cry... They Get Even","Joan Micklin Silver"
"<http://dbpedia.org/resource/The_Billion_Dollar_Bubble>","The Billion Dollar Bubble","Brian Gibson (director)"
"<http://dbpedia.org/resource/If_I_Had_My_Way>","If I Had My Way","David Butler (director)"
"<http://dbpedia.org/resource/The_Gentle_Intruder>","The Gentle Intruder","James Kirkwood, Sr."
"<http://dbpedia.org/resource/Now_You_See_Him,_Now_You_Don%27t>","Now You See Him, Now You Don't","Robert Butler (director)"
"<http://dbpedia.org/resource/A_Girl_from_Hunan>","A Girl from Hunan","Xie Fei (director)"
"<http://dbpedia.org/resource/The_Spiderwick_Chronicles_%28film%29>","The Spiderwick Chronicles (film)","Mark Waters (director)"
"<http://dbpedia.org/resource/For_Heaven%27s_Sake_%281926_film%29>","For Heaven's Sake (1926 film)","Sam Taylor (director)"
"<http://dbpedia.org/resource/The_Last_Ride_to_Santa_Cruz>","The Last Ride to Santa Cruz","Rolf Olsen (actor)"
"<http://dbpedia.org/resource/The_Evil_That_Men_Do_%28film%29>","The Evil That Men Do (film)","J. Lee Thompson"
"<http://dbpedia.org/resource/Dr._Otto_and_the_Riddle_of_the_Gloom_Beam>","Dr. Otto and the Riddle of the Gloom Beam","John R. Cherry III"
"<http://dbpedia.org/resource/The_Sum_of_Us_%28film%29>","The Sum of Us (film)","Kevin Dowling (director)"
"<http://dbpedia.org/resource/The_Sum_of_Us_%28film%29>","The Sum of Us (film)","Kevin Dowling (director)"
"<http://dbpedia.org/resource/Lady_Sings_the_Blues_%28film%29>","Lady Sings the Blues (film)","Sidney J. Furie"
"<http://dbpedia.org/resource/Victory_Through_Air_Power_%28film%29>","Victory Through Air Power (film)","James Algar"
"<http://dbpedia.org/resource/All_the_Pretty_Horses_%28film%29>","All the Pretty Horses (film)","Billy Bob Thornton"
"<http://dbpedia.org/resource/Peck%27s_Bad_Boy_with_the_Circus>","Peck's Bad Boy with the Circus","Edward F. Cline"
"<http://dbpedia.org/resource/Mary_Tyler_Moore:_The_20th_Anniversary_Show>","Mary Tyler Moore: The 20th Anniversary Show","Jack Haley, Jr."
"<http://dbpedia.org/resource/Flash_Gordon_%28serial%29>","Flash Gordon (serial)","Ray Taylor (director)"
"<http://dbpedia.org/resource/Air_Bud:_Spikes_Back>","Air Bud: Spikes Back","Mike Southon (cinematographer)"
"<http://dbpedia.org/resource/Hot_Potato_%28film%29>","Hot Potato (film)","Oscar Williams (filmmaker)"
"<http://dbpedia.org/resource/Inuuvunga:_I_Am_Inuk,_I_Am_Alive>","Inuuvunga: I Am Inuk, I Am Alive","Mila Aung-Thwin"
"<http://dbpedia.org/resource/Soul_Food_%28film%29>","Soul Food (film)","George Tillman, Jr."
"<http://dbpedia.org/resource/Across_the_Wide_Missouri_%28film%29>","Across the Wide Missouri (film)","William A. Wellman"
"<http://dbpedia.org/resource/I_Married_a_Monster_from_Outer_Space>","I Married a Monster from Outer Space","Gene Fowler Jr."
"<http://dbpedia.org/resource/On_the_Edge_%28film%29>","On the Edge (film)","John Carney (director)"
"<http://dbpedia.org/resource/In_Search_of_Gregory>","In Search of Gregory","Peter Wood (director)"
"<http://dbpedia.org/resource/The_Sign_of_the_Cross_%28film%29>","The Sign of the Cross (film)","Cecil B. DeMille"
"<http://dbpedia.org/resource/Break,_Break,_Break_%28film%29>","Break, Break, Break (film)","Harry A. Pollard"
"<http://dbpedia.org/resource/She%27s_Having_a_Baby>","She's Having a Baby","John Hughes (filmmaker)"
"<http://dbpedia.org/resource/The_Vagabond_King_%281930_film%29>","The Vagabond King (1930 film)","Ludwig Berger (director)"
"<http://dbpedia.org/resource/In_Good_Company_%282004_film%29>","In Good Company (2004 film)","Paul Weitz (filmmaker)"
"<http://dbpedia.org/resource/Rikki_og_m%C3%A6ndene>","Rikki og m?ndene","Lisbeth Movin"
"<http://dbpedia.org/resource/The_First_of_the_Few>","The First of the Few","Leslie Howard (actor)"
"<http://dbpedia.org/resource/Ruth_of_the_Rockies>","Ruth of the Rockies","George Marshall (director)"
"<http://dbpedia.org/resource/The_Return_of_the_King_%281980_film%29>","The Return of the King (1980 film)","Arthur Rankin, Jr."
"<http://dbpedia.org/resource/Down_in_the_Valley_%28film%29>","Down in the Valley (film)","David Jacobson (director)"
"<http://dbpedia.org/resource/Behind_Enemy_Lines_%282001_film%29>","Behind Enemy Lines (2001 film)","John Moore (director)"
"<http://dbpedia.org/resource/Max_Payne_%28film%29>","Max Payne (film)","John Moore (director)"
"<http://dbpedia.org/resource/Hedwig_and_the_Angry_Inch_%28film%29>","Hedwig and the Angry Inch (film)","John Cameron Mitchell"
"<http://dbpedia.org/resource/Percy_Jackson_&_the_Olympians:_The_Lightning_Thief>","Percy Jackson & the Olympians: The Lightning Thief","Chris Columbus (filmmaker)"
"<http://dbpedia.org/resource/Alexander%27s_Ragtime_Band_%28film%29>","Alexander's Ragtime Band (film)","Henry King (director)"
"<http://dbpedia.org/resource/Alexander%27s_Ragtime_Band_%28film%29>","Alexander's Ragtime Band (film)","Henry King (director)"
"<http://dbpedia.org/resource/The_Amulet_of_Ogum>","The Amulet of Ogum","Nelson Pereira dos Santos"
"<http://dbpedia.org/resource/The_Monastery:_Mr._Vig_and_the_Nun>","The Monastery: Mr. Vig and the Nun","Pernille Rose Gr?nkj?r"
"<http://dbpedia.org/resource/Motives_%28film%29>","Motives (film)","Craig Ross Jr."
"<http://dbpedia.org/resource/Change_of_Habit>","Change of Habit","William A. Graham (director)"
"<http://dbpedia.org/resource/The_Last_of_Mrs._Cheyney_%281929_film%29>","The Last of Mrs. Cheyney (1929 film)","Sidney Franklin (director)"
"<http://dbpedia.org/resource/Biggles:_Adventures_in_Time>","Biggles: Adventures in Time","John Hough (director)"
"<http://dbpedia.org/resource/Dirty_Mary,_Crazy_Larry>","Dirty Mary, Crazy Larry","John Hough (director)"
"<http://dbpedia.org/resource/The_Green_Hornet_%28serial%29>","The Green Hornet (serial)","Ford Beebe"
"<http://dbpedia.org/resource/The_Lena_Baker_Story>","The Lena Baker Story","Ralph Wilcox (actor)"
"<http://dbpedia.org/resource/A_Romance_of_the_Western_Hills>","A Romance of the Western Hills","D. W. Griffith"
"<http://dbpedia.org/resource/A_Family_Affair_%28film%29>","A Family Affair (film)","George B. Seitz"
"<http://dbpedia.org/resource/Gold_Diggers_of_Broadway_%28film%29>","Gold Diggers of Broadway (film)","Roy Del Ruth"
"<http://dbpedia.org/resource/The_Triumphs_of_a_Man_Called_Horse>","The Triumphs of a Man Called Horse","John Hough (director)"
"<http://dbpedia.org/resource/Pride_and_Glory_%28film%29>","Pride and Glory (film)","Gavin O'Connor (director)"
"<http://dbpedia.org/resource/The_Conquest_of_Everest>","The Conquest of Everest","George Lowe (mountaineer)"
"<http://dbpedia.org/resource/Get_Christie_Love%21>","Get Christie Love!","William A. Graham (director)"
"<http://dbpedia.org/resource/Private_Lives_%28film%29>","Private Lives (film)","Sidney Franklin (director)"
"<http://dbpedia.org/resource/The_Art_of_War_%28film%29>","The Art of War (film)","Christian Duguay (director)"
"<http://dbpedia.org/resource/The_Last_Sin_Eater_%28film%29>","The Last Sin Eater (film)","Michael Landon Jr."
"<http://dbpedia.org/resource/Lise_kommer_til_Byen>","Lise kommer til Byen","Alice O'Fredericks"
"<http://dbpedia.org/resource/Night_Passage_%28film%29>","Night Passage (film)","James Neilson (director)"
"<http://dbpedia.org/resource/Prince_of_Persia:_The_Sands_of_Time_%28film%29>","Prince of Persia: The Sands of Time (film)","Mike Newell (director)"
"<http://dbpedia.org/resource/It_Came_from_Outer_Space>","It Came from Outer Space","Jack Arnold (director)"
"<http://dbpedia.org/resource/The_Acid_House_%28film%29>","The Acid House (film)","Paul McGuigan (filmmaker)"
"<http://dbpedia.org/resource/What%27s_Love_Got_to_Do_with_It_%28film%29>","What's Love Got to Do with It (film)","Brian Gibson (director)"
"<http://dbpedia.org/resource/House_of_the_Long_Shadows>","House of the Long Shadows","Pete Walker (director)"
"<http://dbpedia.org/resource/Too_Hot_to_Handle_%281960_film%29>","Too Hot to Handle (1960 film)","Terence Young (director)"
"<http://dbpedia.org/resource/The_Watcher_in_the_Woods>","The Watcher in the Woods","John Hough (director)"
"<http://dbpedia.org/resource/P.U.N.K.S.>","P.U.N.K.S.","Sean McNamara (director)"
"<http://dbpedia.org/resource/Roar_of_the_Iron_Horse>","Roar of the Iron Horse","Thomas Carr (director)"
"<http://dbpedia.org/resource/Detention:_The_Siege_at_Johnson_High>","Detention: The Siege at Johnson High","Michael W. Watkins"
"<http://dbpedia.org/resource/Nancy_Drew_and_the_Hidden_Staircase_%28film%29>","Nancy Drew and the Hidden Staircase (film)","William Clemens (film director)"
"<http://dbpedia.org/resource/The_Girl_of_the_Golden_West_%281938_film%29>","The Girl of the Golden West (1938 film)","Robert Z. Leonard"
"<http://dbpedia.org/resource/Tenacious_D_in_The_Pick_of_Destiny>","Tenacious D in The Pick of Destiny","Liam Lynch (musician)"
"<http://dbpedia.org/resource/Rolling_Thunder_%28film%29>","Rolling Thunder (film)","John Flynn (director)"
"<http://dbpedia.org/resource/The_Barretts_of_Wimpole_Street_%281934_film%29>","The Barretts of Wimpole Street (1934 film)","Sidney Franklin (director)"
"<http://dbpedia.org/resource/The_Barretts_of_Wimpole_Street_%281934_film%29>","The Barretts of Wimpole Street (1934 film)","Sidney Franklin (director)"
"<http://dbpedia.org/resource/Planes,_Trains_and_Automobiles>","Planes, Trains and Automobiles","John Hughes (filmmaker)"
"<http://dbpedia.org/resource/No,_or_the_Vain_Glory_of_Command>","No, or the Vain Glory of Command","Manoel de Oliveira"
"<http://dbpedia.org/resource/The_Black_Dahlia_%28film%29>","The Black Dahlia (film)","Brian De Palma"
"<http://dbpedia.org/resource/The_Flight_of_Dragons>","The Flight of Dragons","Arthur Rankin, Jr."
"<http://dbpedia.org/resource/I_Can_Get_It_for_You_Wholesale_%28film%29>","I Can Get It for You Wholesale (film)","Michael Gordon (film director)"
"<http://dbpedia.org/resource/Maya_Lin:_A_Strong_Clear_Vision>","Maya Lin: A Strong Clear Vision","Freida Lee Mock"
"<http://dbpedia.org/resource/A_Doll%27s_House_%281959_film%29>","A Doll's House (1959 film)","George Schaefer (director)"
"<http://dbpedia.org/resource/Wrestling_With_Angels:_Playwright_Tony_Kushner>","Wrestling With Angels: Playwright Tony Kushner","Freida Lee Mock"
"<http://dbpedia.org/resource/The_New_Adventures_of_J._Rufus_Wallingford>","The New Adventures of J. Rufus Wallingford","Leopold Wharton"
"<http://dbpedia.org/resource/Reign_of_Fire_%28film%29>","Reign of Fire (film)","Rob Bowman (filmmaker)"
"<http://dbpedia.org/resource/Davy_Crockett_and_the_River_Pirates>","Davy Crockett and the River Pirates","Norman Foster (director)"
"<http://dbpedia.org/resource/Air_Bud:_Golden_Receiver>","Air Bud: Golden Receiver","Richard Martin (director)"
"<http://dbpedia.org/resource/Operation_Homecoming:_Writing_the_Wartime_Experience>","Operation Homecoming: Writing the Wartime Experience","Richard E. Robbins"
