iddbpeda,idlinkedmdb
http://dbpedia.org/resource/Alice_in_Wonderland_(1933_film),http://data.linkedmdb.org/resource/film/65505
http://dbpedia.org/resource/The_Story_of_the_Last_Chrysanthemum,http://data.linkedmdb.org/resource/film/2393
http://dbpedia.org/resource/The_Last_of_the_Blonde_Bombshells,http://data.linkedmdb.org/resource/film/2393
http://dbpedia.org/resource/Alice_of_Wonderland_in_Paris,http://data.linkedmdb.org/resource/film/65505
http://dbpedia.org/resource/My_Name_Is_Juani,http://data.linkedmdb.org/resource/film/41319
http://dbpedia.org/resource/The_Last_of_the_Mohicans_(1936_film),http://data.linkedmdb.org/resource/film/2393
http://dbpedia.org/resource/The_King_of_Comedy_(1983_film),http://data.linkedmdb.org/resource/film/1980
http://dbpedia.org/resource/Oliver_Twist_(1948_film),http://data.linkedmdb.org/resource/film/3916
http://dbpedia.org/resource/Alice_in_Wonderland_(1985_film),http://data.linkedmdb.org/resource/film/65505
http://dbpedia.org/resource/The_Curse_of_the_Werewolf,http://data.linkedmdb.org/resource/film/42371
http://dbpedia.org/resource/King_of_the_Carnival,http://data.linkedmdb.org/resource/film/1980
http://dbpedia.org/resource/The_Silence_of_the_Hams,http://data.linkedmdb.org/resource/film/38145
http://dbpedia.org/resource/The_Ghost_Walks,http://data.linkedmdb.org/resource/film/75185
http://dbpedia.org/resource/The_End_of_the_River,http://data.linkedmdb.org/resource/film/38169
http://dbpedia.org/resource/The_Truth_About_Charlie,http://data.linkedmdb.org/resource/film/43628
http://dbpedia.org/resource/The_Island_of_Dr._Moreau_(1977_film),http://data.linkedmdb.org/resource/film/7585
http://dbpedia.org/resource/King_of_the_Circus,http://data.linkedmdb.org/resource/film/1980
http://dbpedia.org/resource/The_Last_of_the_High_Kings,http://data.linkedmdb.org/resource/film/2393
http://dbpedia.org/resource/The_End_of_Summer,http://data.linkedmdb.org/resource/film/49680
http://dbpedia.org/resource/The_House_of_the_Angel,http://data.linkedmdb.org/resource/film/1766
http://dbpedia.org/resource/The_Age_of_Innocence_(1934_film),http://data.linkedmdb.org/resource/film/8061
http://dbpedia.org/resource/Oliver_Twist_(1933_film),http://data.linkedmdb.org/resource/film/3916
http://dbpedia.org/resource/Year_of_the_Jellyfish,http://data.linkedmdb.org/resource/film/42168
http://dbpedia.org/resource/The_Truth_About_Love,http://data.linkedmdb.org/resource/film/48477
http://dbpedia.org/resource/The_Ghost_Inside,http://data.linkedmdb.org/resource/film/75185
